Atributo,Classificacao
Age,1
Attrition,3
BusinessTravel,4
DailyRate,1
Department,4
DistanceFromHome,1
Education,1
EducationField,3
EmployeeCount,1
EmployeeNumber,1
EnvironmentSatisfaction,1
Gender,3
HourlyRate,1
JobInvolvement,1
JobLevel,1
JobRole,3
JobSatisfaction,1
MaritalStatus,3
MonthlyIncome,1
MonthlyRate,1
NumCompaniesWorked,1
Over18,3
OverTime,3
PercentSalaryHike,1
PerformanceRating,1
RelationshipSatisfaction,1
StandardHours,1
StockOptionLevel,1
TotalWorkingYears,1
TrainingTimesLastYear,1
WorkLifeBalance,1
YearsAtCompany,1
YearsInCurrentRole,1
YearsSinceLastPromotion,1
YearsWithCurrManager,1
